catch_row_id,fork_length,dead,weight,count,fws_run,r_catch,interp,age_class,brood_year,subsample,field1,common_name,life_stage,station_code,sample_date,sample_id,run
{00E547B1-2155-46C0-91AC07553D830442},55,FALSE,0,1,,1,FALSE,NA,NA,not provided,NA,Riffle Sculpin,not provided,LCC,2024-10-08,282_24,not provided
{0408FD26-32F5-4273-AADBCCA2A41319AD},38,FALSE,0,1,,1,FALSE,NA,NA,not provided,NA,Sacramento Sucker,not provided,LCC,2024-10-03,277_24,not provided
{05D137A3-FE40-4C47-890142CCD08116D7},29,FALSE,0,1,,NA,FALSE,NA,NA,not provided,NA,Unidentified Centrarchid fry,not provided,UBC,2024-10-10,284_24,not provided
{060C4A35-0FE5-489F-B79284A7C083C5AA},101,FALSE,0,1,,NA,FALSE,NA,NA,not provided,NA,Pacific Lamprey macropthalmia,not provided,UBC,2024-10-05,279_24,not provided
{076EF6DB-44DA-4A5C-BF04B2A932F25B81},119,FALSE,0,1,,NA,FALSE,NA,NA,not provided,NA,Pacific Lamprey ammocoete,not provided,UCC,2024-10-02,276_24,not provided
{0803257E-257F-41C1-82A2D200E256109F},79,FALSE,0,1,,NA,FALSE,NA,NA,not provided,NA,Riffle Sculpin,not provided,LCC,2025-02-13,044_25,not provided
{0D36F6AB-A8DE-41AF-B4C2690E51BE9805},22,FALSE,0,1,,NA,FALSE,NA,NA,not provided,NA,Sacramento Sucker,not provided,UBC,2024-10-01,275_24,not provided
{10FBF048-62A6-4AFC-B5FBEB357CC3AFEC},34,FALSE,0,1,,NA,FALSE,NA,NA,not provided,NA,Pacific Lamprey ammocoete,not provided,UBC,2024-10-08,282_24,not provided
{11D990D9-F9B6-4C45-9D1D1918EABFFA2D},130,FALSE,0,1,,NA,FALSE,NA,NA,not provided,NA,Pacific Lamprey ammocoete,not provided,UCC,2024-10-08,282_24,not provided
{123A8524-6B1F-487C-88ADFF05FB562E2C},107,FALSE,0,1,,1,FALSE,NA,NA,not provided,NA,Pacific Lamprey macropthalmia,not provided,LCC,2024-10-05,279_24,not provided
{1358BA59-76F6-4041-99D81D1424643326},78,FALSE,0,1,,NA,FALSE,NA,NA,not provided,NA,Sacramento Pikeminnow,not provided,UCC,2024-10-08,282_24,not provided
{149AE5A1-CDC3-46E0-B713F1E09728060C},38,FALSE,0,1,,1,FALSE,NA,NA,not provided,NA,Sacramento Sucker,not provided,LCC,2024-10-04,278_24,not provided
{1D36C6A0-B2A6-4C75-B93CBFEF3BF4B349},24,FALSE,0,1,,NA,FALSE,NA,NA,not provided,NA,Unidentified Centrarchid fry,not provided,UBC,2024-10-15,289_24,not provided
{1EEF7789-C8F7-407A-8FEB32D6918868AD},32,FALSE,0,1,,NA,FALSE,NA,NA,not provided,NA,Unidentified Centrarchid fry,not provided,UBC,2024-10-07,281_24,not provided
{20E74D98-7723-4846-843B39C00C554C1F},114,FALSE,0,1,,NA,FALSE,NA,NA,not provided,NA,Pacific Lamprey ammocoete,not provided,UCC,2024-10-10,284_24,not provided
{21D2CB73-CF8C-4E65-813D0A25817637C5},140,FALSE,0,1,,NA,FALSE,NA,NA,not provided,NA,Sacramento Sucker,not provided,UBC,2024-10-07,281_24,not provided
