Date,DATE / TIME (PST),TEMP W DEG F
3/26/2022,3/26/2022 0:00,48.9
3/26/2022,3/26/2022 1:00,48.8
3/26/2022,3/26/2022 2:00,48.6
3/26/2022,3/26/2022 3:00,48.5
3/26/2022,3/26/2022 4:00,48.4
3/26/2022,3/26/2022 5:00,48.3
3/26/2022,3/26/2022 6:00,48.2
3/26/2022,3/26/2022 7:00,48.3
3/26/2022,3/26/2022 8:00,48.6
3/26/2022,3/26/2022 9:00,49.2
3/26/2022,3/26/2022 10:00,50
3/26/2022,3/26/2022 11:00,51
3/26/2022,3/26/2022 12:00,52
3/26/2022,3/26/2022 13:00,53
3/26/2022,3/26/2022 14:00,53.7
3/26/2022,3/26/2022 15:00,53.9
3/26/2022,3/26/2022 16:00,54
3/26/2022,3/26/2022 17:00,53.5
3/26/2022,3/26/2022 18:00,52.7
3/26/2022,3/26/2022 19:00,52
3/26/2022,3/26/2022 20:00,51.3
3/26/2022,3/26/2022 21:00,50.5
3/26/2022,3/26/2022 22:00,49.9
3/26/2022,3/26/2022 23:00,49.4
3/27/2022,3/27/2022 0:00,49.2
3/27/2022,3/27/2022 1:00,49
3/27/2022,3/27/2022 2:00,48.8
3/27/2022,3/27/2022 3:00,48.7
3/27/2022,3/27/2022 4:00,48.6
3/27/2022,3/27/2022 5:00,48.5
3/27/2022,3/27/2022 6:00,48.5
3/27/2022,3/27/2022 7:00,48.6
3/27/2022,3/27/2022 8:00,48.9
3/27/2022,3/27/2022 9:00,49.2
3/27/2022,3/27/2022 10:00,50.1
3/27/2022,3/27/2022 11:00,50.9
3/27/2022,3/27/2022 12:00,51.9
3/27/2022,3/27/2022 13:00,52.5
3/27/2022,3/27/2022 14:00,52.9
3/27/2022,3/27/2022 15:00,53.1
3/27/2022,3/27/2022 16:00,53.1
3/27/2022,3/27/2022 17:00,52.6
3/27/2022,3/27/2022 18:00,51.9
3/27/2022,3/27/2022 19:00,51.3
3/27/2022,3/27/2022 20:00,50.7
3/27/2022,3/27/2022 21:00,50.2
3/27/2022,3/27/2022 22:00,49.8
3/27/2022,3/27/2022 23:00,49.5
3/28/2022,3/28/2022 0:00,49.3
3/28/2022,3/28/2022 1:00,49.3
3/28/2022,3/28/2022 2:00,49.2
3/28/2022,3/28/2022 3:00,49.2
3/28/2022,3/28/2022 4:00,49.2
3/28/2022,3/28/2022 5:00,49.2
3/28/2022,3/28/2022 6:00,49.2
